Province,A(H1N1)pdm09,AH3,Auns,A,B,RSV,PIV1,PIV2,PIV3,PIV4,PIV-Other,ADENO,HMPV,RHINO,Corona,EndingDate
Saskatchewan,3.0,0.0,0.0,3.0,0.0,0.0,14.0,2.0,1.0,2.0,2.0,7.0,2.0,24.0,2.0,2013-11-16
Alberta,17.0,0.0,1.0,18.0,0.0,10.0,38.0,0.0,0.0,0.0,0.0,13.0,3.0,81.0,6.0,2013-11-16
British Columbia,0.0,0.0,2.0,3.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,13.0,0.0,2013-11-16
Newfoundland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2013-11-23
Prince Edward Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2013-11-23
Nova Scotia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2013-11-23
New Brunswick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-11-23
Quebec,0.0,0.0,0.0,3.0,3.0,31.0,10.0,5.0,1.0,5.0,0.0,15.0,6.0,0.0,2.0,2013-11-23
Onatrio,11.0,0.0,5.0,23.0,4.0,20.0,31.0,6.0,5.0,8.0,2.0,19.0,4.0,40.0,1.0,2013-11-23
Manitoba,3.0,0.0,0.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2013-11-23
Saskatchewan,1.0,0.0,0.0,2.0,0.0,0.0,14.0,3.0,1.0,3.0,1.0,10.0,1.0,24.0,2.0,2013-11-23
Alberta,11.0,0.0,1.0,16.0,3.0,4.0,37.0,0.0,0.0,0.0,0.0,7.0,6.0,74.0,3.0,2013-11-23
British Columbia,3.0,0.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,24.0,1.0,2013-11-23
Newfoundland,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2013-11-30
Prince Edward Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-11-30
Nova Scotia,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2013-11-30
New Brunswick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-11-30
Quebec,0.0,0.0,0.0,15.0,10.0,47.0,9.0,0.0,1.0,6.0,0.0,26.0,5.0,0.0,3.0,2013-11-30
Onatrio,15.0,0.0,8.0,32.0,0.0,39.0,14.0,1.0,3.0,0.0,0.0,10.0,4.0,15.0,1.0,2013-11-30
Manitoba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-11-30
Saskatchewan,4.0,0.0,0.0,4.0,0.0,0.0,17.0,1.0,3.0,2.0,1.0,12.0,2.0,27.0,2.0,2013-11-30
Alberta,25.0,0.0,0.0,35.0,0.0,9.0,23.0,0.0,0.0,0.0,0.0,7.0,7.0,51.0,1.0,2013-11-30
British Columbia,1.0,0.0,7.0,8.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,5.0,4.0,14.0,0.0,2013-11-30
Newfoundland,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-12-07
Prince Edward Island,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-12-07
Nova Scotia,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2013-12-07
New Brunswick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-12-07
Quebec,0.0,0.0,0.0,23.0,12.0,68.0,9.0,5.0,2.0,5.0,0.0,20.0,3.0,0.0,2.0,2013-12-07
Onatrio,54.0,0.0,15.0,72.0,0.0,67.0,21.0,5.0,1.0,4.0,2.0,3.0,9.0,26.0,2.0,2013-12-07
Manitoba,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,0.0,2013-12-07
Saskatchewan,6.0,0.0,0.0,10.0,0.0,3.0,19.0,0.0,0.0,1.0,1.0,8.0,7.0,16.0,2.0,2013-12-07
Alberta,52.0,0.0,1.0,60.0,1.0,12.0,38.0,0.0,0.0,0.0,0.0,6.0,7.0,79.0,3.0,2013-12-07
British Columbia,11.0,0.0,1.0,15.0,0.0,8.0,1.0,1.0,2.0,4.0,0.0,0.0,1.0,16.0,0.0,2013-12-07
Newfoundland,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-12-14
Prince Edward Island,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2013-12-14
Nova Scotia,1.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2013-12-14
New Brunswick,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2013-12-14
Quebec,0.0,0.0,0.0,42.0,14.0,101.0,9.0,3.0,2.0,6.0,0.0,13.0,4.0,0.0,5.0,2013-12-14
Onatrio,110.0,8.0,7.0,154.0,7.0,114.0,23.0,4.0,3.0,7.0,0.0,12.0,16.0,24.0,6.0,2013-12-14
Manitoba,2.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2013-12-14
Saskatchewan,10.0,0.0,0.0,19.0,0.0,1.0,21.0,1.0,1.0,1.0,4.0,9.0,4.0,16.0,2.0,2013-12-14
Alberta,57.0,0.0,1.0,95.0,3.0,26.0,51.0,0.0,0.0,0.0,0.0,10.0,14.0,61.0,6.0,2013-12-14
British Columbia,15.0,0.0,1.0,24.0,3.0,1.0,1.0,1.0,0.0,4.0,0.0,1.0,4.0,9.0,4.0,2013-12-14
Newfoundland,5.0,0.0,0.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-12-28
Prince Edward Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2013-12-28
Nova Scotia,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2013-12-28
New Brunswick,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2013-12-28
Quebec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-12-28
Onatrio,256.0,0.0,17.0,387.0,5.0,109.0,19.0,4.0,4.0,1.0,0.0,12.0,18.0,22.0,6.0,2013-12-28
Manitoba,6.0,0.0,0.0,10.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2013-12-28
Saskatchewan,39.0,0.0,0.0,84.0,0.0,4.0,15.0,2.0,1.0,4.0,0.0,64.0,14.0,18.0,11.0,2013-12-28
Alberta,251.0,0.0,0.0,369.0,0.0,50.0,24.0,0.0,0.0,0.0,0.0,4.0,21.0,63.0,19.0,2013-12-28
British Columbia,39.0,0.0,5.0,66.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,1.0,5.0,11.0,2.0,2013-12-28
Newfoundland,0.0,0.0,0.0,23.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-04
Prince Edward Island,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2014-01-04
Nova Scotia,0.0,0.0,0.0,9.0,0.0,5.0,6.0,1.0,0.0,2.0,0.0,0.0,3.0,6.0,1.0,2014-01-04
New Brunswick,4.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-04
Quebec,58.0,0.0,0.0,426.0,65.0,196.0,7.0,4.0,0.0,2.0,0.0,14.0,9.0,0.0,6.0,2014-01-04
Onatrio,300.0,0.0,17.0,676.0,10.0,208.0,17.0,7.0,0.0,5.0,0.0,11.0,25.0,18.0,13.0,2014-01-04
Manitoba,16.0,0.0,0.0,29.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,2014-01-04
Saskatchewan,138.0,0.0,0.0,198.0,0.0,2.0,25.0,1.0,1.0,4.0,1.0,12.0,25.0,22.0,29.0,2014-01-04
Alberta,502.0,0.0,2.0,630.0,0.0,84.0,46.0,0.0,0.0,0.0,0.0,6.0,63.0,68.0,51.0,2014-01-04
British Columbia,85.0,0.0,0.0,207.0,4.0,8.0,1.0,0.0,1.0,0.0,0.0,3.0,6.0,13.0,4.0,2014-01-04
Newfoundland,15.0,0.0,0.0,44.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-11
Prince Edward Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-11
Nova Scotia,10.0,0.0,1.0,13.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2014-01-11
New Brunswick,139.0,0.0,0.0,194.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2014-01-11
Quebec,67.0,0.0,0.0,607.0,91.0,172.0,5.0,2.0,1.0,4.0,0.0,16.0,13.0,0.0,8.0,2014-01-11
