Date,Search,Province
2022-01-21,40.515166808126686,AB
2022-01-22,28.77164019707548,AB
2022-01-23,21.725524230444744,AB
2022-01-24,28.18446386652291,AB
2022-01-25,30.533169188733154,AB
2022-01-26,25.83575854431267,AB
2022-01-27,25.24858221376011,AB
2022-01-28,22.312700560997307,AB
2022-01-29,21.138347899892185,AB
2022-01-30,17.61528991657682,AB
2022-01-31,21.138347899892185,AB
2022-02-01,23.48705322210243,AB
2022-02-02,22.312700560997307,AB
2022-02-03,22.312700560997307,AB
2022-02-04,21.138347899892185,AB
2022-02-05,17.02811358602426,AB
2022-02-06,15.853760924919138,AB
2022-02-07,19.963995238787064,AB
2022-02-08,24.074229552654987,AB
2022-02-09,42.27669579978437,AB
2022-02-10,19.3768189082345,AB
2022-02-11,15.853760924919138,AB
2022-02-12,14.092231933261456,AB
2022-02-13,12.330702941603777,AB
2022-02-14,14.679408263814016,AB
2022-02-15,15.853760924919138,AB
2022-02-16,14.092231933261456,AB
2022-02-17,12.330702941603777,AB
2022-02-18,13.505055602708897,AB
2022-02-19,9.981997619393532,AB
2022-02-20,9.394821288840973,AB
2022-02-21,10.569173949946093,AB
2022-02-22,12.917879272156336,AB
2022-02-23,14.092231933261456,AB
2022-02-24,11.156350280498652,AB
2022-02-25,10.569173949946093,AB
2022-02-26,14.092231933261456,AB
2022-02-27,11.743526611051214,AB
2022-02-28,12.330702941603777,AB
2022-03-01,13.505055602708897,AB
2022-03-02,11.156350280498652,AB
2022-03-03,9.981997619393532,AB
2022-03-04,9.394821288840973,AB
2022-03-05,7.633292297183289,AB
2022-03-06,8.22046862773585,AB
2022-03-07,10.569173949946093,AB
2022-03-08,9.394821288840973,AB
2022-03-09,11.156350280498652,AB
2022-03-10,8.80764495828841,AB
2022-03-11,8.80764495828841,AB
2022-03-12,8.80764495828841,AB
2022-03-13,8.80764495828841,AB
2022-03-14,11.156350280498652,AB
2022-03-15,11.156350280498652,AB
2022-03-16,12.330702941603777,AB
2022-03-17,11.156350280498652,AB
2022-03-18,9.394821288840973,AB
2022-03-19,8.22046862773585,AB
2022-03-20,7.633292297183289,AB
2022-03-21,9.981997619393532,AB
2022-03-22,8.80764495828841,AB
2022-03-23,10.569173949946093,AB
2022-03-24,9.981997619393532,AB
2022-03-25,8.22046862773585,AB
2022-03-26,8.22046862773585,AB
2022-03-27,9.394821288840973,AB
2022-03-28,9.394821288840973,AB
2022-03-29,9.981997619393532,AB
2022-03-30,11.156350280498652,AB
2022-03-31,11.156350280498652,AB
2022-04-01,10.569173949946093,AB
2022-04-02,8.80764495828841,AB
2022-04-03,8.80764495828841,AB
2022-04-04,10.569173949946093,AB
2022-04-05,10.569173949946093,AB
2022-04-06,11.743526611051214,AB
2022-04-07,11.156350280498652,AB
2022-04-08,9.981997619393532,AB
2022-04-09,8.80764495828841,AB
2022-04-10,9.394821288840973,AB
2022-04-11,11.156350280498652,AB
2022-04-12,11.743526611051214,AB
2022-04-13,11.743526611051214,AB
2022-04-14,10.569173949946093,AB
2022-04-15,9.394821288840973,AB
2022-04-16,8.80764495828841,AB
2022-04-17,8.80764495828841,AB
